scenario,metric,value
nominal_soak_10m,duration_ms,800008
nominal_soak_10m,event_rate_hz,2.219
nominal_soak_10m,events_total,1775
nominal_soak_10m,inj_events,0
nominal_soak_10m,mb_delta_attempted,1770
nominal_soak_10m,mb_delta_processed,1770
nominal_soak_10m,mb_drop_over_attempted_pct,0.00
nominal_soak_10m,mb_processed_over_attempted_pct,100.00
nominal_soak_10m,sensor_1_avg_ms,1352.73
nominal_soak_10m,sensor_1_events,592
nominal_soak_10m,sensor_1_p50_ms,1025
nominal_soak_10m,sensor_1_p95_ms,1026
nominal_soak_10m,sensor_1_p99_ms,1026
nominal_soak_10m,sensor_2_avg_ms,1352.70
nominal_soak_10m,sensor_2_events,592
nominal_soak_10m,sensor_2_p50_ms,1025
nominal_soak_10m,sensor_2_p95_ms,1026
nominal_soak_10m,sensor_2_p99_ms,1026
nominal_soak_10m,sensor_3_avg_ms,1015.83
nominal_soak_10m,sensor_3_events,591
nominal_soak_10m,sensor_3_p50_ms,1006
nominal_soak_10m,sensor_3_p95_ms,1026
nominal_soak_10m,sensor_3_p99_ms,1026
nominal_soak_10m,status_0,1775
nominal_soak_10m,ts_max_ms,889352
nominal_soak_10m,ts_min_ms,89344
